City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
195,qaqortoq,40,GL,1593272524,66,60.72,-46.03,10.0,2.6
196,vrangel,100,RU,1593272525,95,42.73,133.08,13.43,3.18
197,nantucket,1,US,1593272525,83,41.28,-70.1,25.0,5.1
198,iqaluit,20,CA,1593272526,75,63.75,-68.51,5.0,3.6
199,codrington,2,AU,1593272527,89,-38.27,141.97,5.15,3.32
200,prince rupert,90,CA,1593272527,100,54.32,-130.32,11.0,2.6
201,veracruz,90,MX,1593272480,74,19.33,-96.67,30.56,1.54
202,saldanha,54,ZA,1593272528,82,-33.01,17.94,16.0,2.6
203,tayzhina,65,RU,1593272529,76,53.67,87.44,16.09,2.13
204,bambous virieux,75,MU,1593272529,78,-20.34,57.76,23.33,5.1
205,touros,75,BR,1593272530,78,-5.2,-35.46,27.0,3.6
206,sirjan,50,IR,1593272530,17,29.45,55.68,32.55,6.76
207,huntsville,75,US,1593272436,88,34.73,-86.59,24.0,2.08
208,avarua,11,CK,1593272531,68,-21.21,-159.78,22.0,3.6
209,oktyabrskoye,99,RU,1593272532,38,43.06,44.74,23.0,6.0
210,clyde river,20,CA,1593272532,87,70.47,-68.59,8.0,1.5
211,yulara,0,AU,1593272533,37,-25.24,130.99,11.0,4.6
212,makat,0,KZ,1593272533,20,47.65,53.35,27.07,3.77
213,carnarvon,75,AU,1593272446,100,-24.87,113.63,19.0,1.5
214,vredendal,76,ZA,1593272535,74,-31.67,18.5,14.58,9.78
215,smithers,90,CA,1593272536,87,54.78,-127.17,10.0,1.5
216,maridi,89,SS,1593272536,94,4.92,29.47,22.49,1.4
217,vila velha,40,BR,1593272537,58,-20.33,-40.29,28.0,7.2
218,ust-maya,37,RU,1593272538,79,60.42,134.53,14.18,0.84
219,uromi,50,NG,1593272538,87,6.7,6.33,26.64,2.46
220,ahipara,33,NZ,1593272539,78,-35.17,173.17,13.42,4.95
221,san policarpo,100,PH,1593272540,77,12.18,125.51,27.81,2.76
222,port-cartier,75,CA,1593272540,72,50.03,-66.87,19.0,3.6
223,concepcion del oro,81,MX,1593272541,65,24.63,-101.42,18.36,0.93
224,fortuna,90,US,1593272541,100,40.6,-124.16,12.78,3.6
225,lillooet,75,CA,1593272542,59,50.69,-121.94,18.0,5.7
226,remanso,21,BR,1593272542,44,-9.62,-42.08,28.55,4.45
227,horta,75,PT,1593272548,83,38.53,-28.63,22.0,5.1
228,kupang,95,ID,1593272548,77,-10.17,123.58,24.18,4.8
229,garowe,93,SO,1593272549,38,8.41,48.48,30.73,6.73
230,maxixe,20,MZ,1593272549,39,-23.86,35.35,27.0,2.24
231,kattivakkam,40,IN,1593272550,89,13.22,80.32,29.0,1.0
232,kloulklubed,90,PW,1593272550,94,7.04,134.26,25.0,2.1
